question,answer,risk_severity,nist_pillar,achivement_type,identified_risk,remediation_plan,policy_document_link,id
The recording of security changes or adjustments that affect your essential service is lacking or inconsistent?,no,No risk,Protect,Not Achieved,Lack of recording security changes affecting essential service,- Implement change management processes to record and track security changes affecting the essential service.<br>- Enforce documentation of security changes to ensure consistency and accountability.,Policy is not availble,448
Changes and adjustments to security configuration at security boundaries with the networks and information systems supporting your essential service are approved and documented?,yes,Medium,Protect,Partially Achieved,Partial approval and documentation of security configuration changes at network and system boundaries,- Enhance approval processes to ensure all security configuration changes are thoroughly reviewed and documented.<br>- Implement robust documentation practices for security changes at network boundaries.,Policy is not availble,449
Changes and adjustments to security configuration at security boundaries with the networks and information systems supporting your essential service are approved and documented?,no,No risk,Protect,Partially Achieved,Partial approval and documentation of security configuration changes at network and system boundaries,- Enhance approval processes to ensure all security configuration changes are thoroughly reviewed and documented.<br>- Implement robust documentation practices for security changes at network boundaries.,Policy is not availble,450
You verify software before installation is permitted?,yes,Medium,Protect,Partially Achieved,Inadequate verification of software before installation,- Establish pre-installation testing procedures to verify software integrity and security.<br>- Conduct thorough verification of software compatibility and security before installation.,Policy is not availble,451
You verify software before installation is permitted?,no,No risk,Protect,Partially Achieved,Inadequate verification of software before installation,- Establish pre-installation testing procedures to verify software integrity and security.<br>- Conduct thorough verification of software compatibility and security before installation.,Policy is not availble,452
Secure platform and device builds are used across the estate?,yes,Medium,Protect,Partially Achieved,Partial use of secure platform and device builds across the network estate,- Develop standardized secure platform and device builds.<br>- Implement measures to ensure consistent deployment of secure builds across all network environments.,Policy is not availble,453
Secure platform and device builds are used across the estate?,no,No risk,Protect,Partially Achieved,Partial use of secure platform and device builds across the network estate,- Develop standardized secure platform and device builds.<br>- Implement measures to ensure consistent deployment of secure builds across all network environments.,Policy is not availble,454
"Consistent, secure, and minimal system and device configurations are applied across the same types of environment?",yes,Medium,Protect,Partially Achieved,Inconsistent application of secure configurations across similar environments,- Develop and enforce configuration management policies to ensure consistency across similar environments.<br>- Implement automated tools to apply secure configurations consistently.,Policy is not availble,455
"Consistent, secure, and minimal system and device configurations are applied across the same types of environment?",no,No risk,Protect,Partially Achieved,Inconsistent application of secure configurations across similar environments,- Develop and enforce configuration management policies to ensure consistency across similar environments.<br>- Implement automated tools to apply secure configurations consistently.,Policy is not availble,456
You have identified and documented the assets that need to be carefully configured to maintain the security of the essential service?,no,Low,Protect,Achieved,Failure to identify and document assets requiring careful configuration,- Conduct an inventory of assets critical to maintaining essential service security.<br>- Develop asset management procedures to ensure all assets are identified and documented.,Policy is not availble,457
You have identified and documented the assets that need to be carefully configured to maintain the security of the essential service?,yes,No risk,Protect,Achieved,Failure to identify and document assets requiring careful configuration,- Conduct an inventory of assets critical to maintaining essential service security.<br>- Develop asset management procedures to ensure all assets are identified and documented.,Policy is not availble,458
"You have identified, documented, and actively manage (e.g. maintain security configurations, patching, updating according to good practice) the assets that need to be carefully configured to maintain the security of the essential service?",no,Low,Protect,Achieved,Failure to actively manage assets with careful configuration,"- Establish procedures for actively managing assets with careful configurations.<br>- Implement regular maintenance activities such as security configurations, patching, and updating according to best practices.",Policy is not availble,459
"You have identified, documented, and actively manage (e.g. maintain security configurations, patching, updating according to good practice) the assets that need to be carefully configured to maintain the security of the essential service?",yes,No risk,Protect,Achieved,Failure to actively manage assets with careful configuration,"- Establish procedures for actively managing assets with careful configurations.<br>- Implement regular maintenance activities such as security configurations, patching, and updating according to best practices.",Policy is not availble,460
"All platforms conform to your secure, defined baseline build, or the latest known good configuration version for that environment?",no,Low,Protect,Achieved,Non-conformity of platforms to secure baseline builds or latest known good configurations,- Develop standardized secure baseline builds for all platforms used in the environment.<br>- Enforce conformity to these builds or the latest known good configurations across all platforms.,Policy is not availble,461
"All platforms conform to your secure, defined baseline build, or the latest known good configuration version for that environment?",yes,No risk,Protect,Achieved,Non-conformity of platforms to secure baseline builds or latest known good configurations,- Develop standardized secure baseline builds for all platforms used in the environment.<br>- Enforce conformity to these builds or the latest known good configurations across all platforms.,Policy is not availble,462
"You closely and effectively manage changes in your environment, ensuring that network and system configurations are secure and documented?",no,Low,Protect,Achieved,Ineffective change management resulting in insecure network and system configurations,"- Implement robust change management processes to track and manage network and system configuration changes.<br>- Ensure changes are thoroughly reviewed, tested, and documented before implementation.",Policy is not availble,463
"You closely and effectively manage changes in your environment, ensuring that network and system configurations are secure and documented?",yes,No risk,Protect,Achieved,Ineffective change management resulting in insecure network and system configurations,"- Implement robust change management processes to track and manage network and system configuration changes.<br>- Ensure changes are thoroughly reviewed, tested, and documented before implementation.",Policy is not availble,464
"You regularly review and validate that your network and information systems have the expected, secured settings and configuration?",no,Low,Protect,Achieved,Failure to regularly review and validate network and information system configurations,- Establish regular review cycles for network and information system configurations.<br>- Implement automated tools and processes to validate and ensure configurations meet security requirements.,Policy is not availble,465
"You regularly review and validate that your network and information systems have the expected, secured settings and configuration?",yes,No risk,Protect,Achieved,Failure to regularly review and validate network and information system configurations,- Establish regular review cycles for network and information system configurations.<br>- Implement automated tools and processes to validate and ensure configurations meet security requirements.,Policy is not availble,466
Only permitted software can be installed and standard users cannot change settings that would impact security or business operation?,no,Low,Protect,Achieved,Installation of unauthorized software or unauthorized changes to system settings by standard users,- Implement strict access controls and permissions to prevent standard users from installing unauthorized software or making unauthorized changes.<br>- Enforce least privilege principles for standard user accounts.,Policy is not availble,467
Only permitted software can be installed and standard users cannot change settings that would impact security or business operation?,yes,No risk,Protect,Achieved,Installation of unauthorized software or unauthorized changes to system settings by standard users,- Implement strict access controls and permissions to prevent standard users from installing unauthorized software or making unauthorized changes.<br>- Enforce least privilege principles for standard user accounts.,Policy is not availble,468
"If automated decision-making technologies are in use, their operation is well understood, and decisions can be replicated?",no,Low,Protect,Achieved,Lack of understanding or documentation of automated decision-making technologies,- Conduct a thorough assessment and documentation of all automated decision-making technologies in use.<br>- Ensure personnel responsible for these technologies are adequately trained and understand their operation.,Policy is not availble,469
"If automated decision-making technologies are in use, their operation is well understood, and decisions can be replicated?",yes,No risk,Protect,Achieved,Lack of understanding or documentation of automated decision-making technologies,- Conduct a thorough assessment and documentation of all automated decision-making technologies in use.<br>- Ensure personnel responsible for these technologies are adequately trained and understand their operation.,Policy is not availble,470
Essential service networks and systems are administered or maintained using non-dedicated devices?,yes,High,Protect,Not Achieved,Administration or maintenance of essential service networks and systems using non-dedicated devices,- Implement policies mandating the use of dedicated devices for administering or maintaining essential service networks and systems.<br>- Enforce strict access controls to prevent unauthorized use of non-dedicated devices.,Policy is not availble,471
Essential service networks and systems are administered or maintained using non-dedicated devices?,no,No risk,Protect,Not Achieved,Administration or maintenance of essential service networks and systems using non-dedicated devices,- Implement policies mandating the use of dedicated devices for administering or maintaining essential service networks and systems.<br>- Enforce strict access controls to prevent unauthorized use of non-dedicated devices.,Policy is not availble,472
You do not have good or current technical documentation of your networks and information systems?,yes,High,Protect,Not Achieved,Lack of good or current technical documentation of networks and information systems,- Establish procedures for regular documentation updates and reviews.<br>- Implement a centralized documentation management system to ensure documentation is up-to-date and easily accessible.,Policy is not availble,473
You do not have good or current technical documentation of your networks and information systems?,no,No risk,Protect,Not Achieved,Lack of good or current technical documentation of networks and information systems,- Establish procedures for regular documentation updates and reviews.<br>- Implement a centralized documentation management system to ensure documentation is up-to-date and easily accessible.,Policy is not availble,474
"Technical knowledge about networks and information systems, such as documentation and network diagrams, is regularly reviewed and updated?",yes,Medium,Protect,Partially Achieved,Partially achieved technical knowledge review and update,- Enhance review processes to ensure regular and thorough reviews of technical knowledge.<br>- Implement automated tools for monitoring and updating technical documentation and network diagrams.,Policy is not availble,475
"Technical knowledge about networks and information systems, such as documentation and network diagrams, is regularly reviewed and updated?",no,No risk,Protect,Partially Achieved,Partially achieved technical knowledge review and update,- Enhance review processes to ensure regular and thorough reviews of technical knowledge.<br>- Implement automated tools for monitoring and updating technical documentation and network diagrams.,Policy is not availble,476
"You prevent, detect, and remove malware or unauthorized software. You use technical, procedural, and physical measures as necessary?",yes,Medium,Protect,Partially Achieved,"Partially achieved prevention, detection, and removal of malware or unauthorized software","- Strengthen malware prevention, detection, and removal measures through a combination of technical, procedural, and physical controls.<br>- Conduct regular security assessments and audits to identify and mitigate vulnerabilities.",Policy is not availble,477
"You prevent, detect, and remove malware or unauthorized software. You use technical, procedural, and physical measures as necessary?",no,No risk,Protect,Partially Achieved,"Partially achieved prevention, detection, and removal of malware or unauthorized software","- Strengthen malware prevention, detection, and removal measures through a combination of technical, procedural, and physical controls.<br>- Conduct regular security assessments and audits to identify and mitigate vulnerabilities.",Policy is not availble,478
Your systems and devices supporting the delivery of the essential service are only administered or maintained by authorized privileged users from dedicated devices?,no,Low,Protect,Achieved,Systems and devices supporting essential service administered only by authorized privileged users,- Enforce strict access controls and user permissions to ensure only authorized privileged users can administer essential service systems and devices.<br>- Implement multi-factor authentication for privileged access.,Policy is not availble,479
Your systems and devices supporting the delivery of the essential service are only administered or maintained by authorized privileged users from dedicated devices?,yes,No risk,Protect,Achieved,Systems and devices supporting essential service administered only by authorized privileged users,- Enforce strict access controls and user permissions to ensure only authorized privileged users can administer essential service systems and devices.<br>- Implement multi-factor authentication for privileged access.,Policy is not availble,480
Your systems and devices supporting the delivery of the essential service are only administered or maintained by authorized privileged users from dedicated devices that are technically segregated and secured to the same level as the networks and systems being maintained?,no,Low,Protect,Achieved,Systems and devices supporting essential service administered by dedicated and segregated devices,- Ensure dedicated devices are used for administering essential service systems and are physically and technically segregated from other networks and systems.<br>- Implement robust security measures on dedicated devices.,Policy is not availble,481
Your systems and devices supporting the delivery of the essential service are only administered or maintained by authorized privileged users from dedicated devices that are technically segregated and secured to the same level as the networks and systems being maintained?,yes,No risk,Protect,Achieved,Systems and devices supporting essential service administered by dedicated and segregated devices,- Ensure dedicated devices are used for administering essential service systems and are physically and technically segregated from other networks and systems.<br>- Implement robust security measures on dedicated devices.,Policy is not availble,482
"You regularly review and update technical knowledge about networks and information systems, such as documentation and network diagrams, and ensure they are securely stored?",no,Low,Protect,Achieved,Regular review and update of technical knowledge about networks and information systems,- Establish regular review cycles for technical knowledge updates.<br>- Implement automated tools for monitoring and updating technical documentation and network diagrams.<br>- Store documentation securely and accessibly.,Policy is not availble,483
"You regularly review and update technical knowledge about networks and information systems, such as documentation and network diagrams, and ensure they are securely stored?",yes,No risk,Protect,Achieved,Regular review and update of technical knowledge about networks and information systems,- Establish regular review cycles for technical knowledge updates.<br>- Implement automated tools for monitoring and updating technical documentation and network diagrams.<br>- Store documentation securely and accessibly.,Policy is not availble,484
"You prevent, detect, and remove malware or unauthorized software. You use technical, procedural, and physical measures as necessary?",no,Low,Protect,Achieved,"Prevention, detection, and removal of malware or unauthorized software","- Implement a multi-layered approach to malware prevention, detection, and removal.<br>- Regularly update antivirus software and conduct malware scans.<br>- Educate users about safe browsing habits and phishing awareness.",Policy is not availble,485
"You prevent, detect, and remove malware or unauthorized software. You use technical, procedural, and physical measures as necessary?",yes,No risk,Protect,Achieved,"Prevention, detection, and removal of malware or unauthorized software","- Implement a multi-layered approach to malware prevention, detection, and removal.<br>- Regularly update antivirus software and conduct malware scans.<br>- Educate users about safe browsing habits and phishing awareness.",Policy is not availble,486
You do not understand the exposure of your essential service to publicly-known vulnerabilities?,yes,High,Protect,Not Achieved,Limited understanding of exposure to publicly-known vulnerabilities,"- Implement a vulnerability management program to continuously monitor, assess, and prioritize vulnerabilities affecting the essential service. - Utilize vulnerability scanning tools and services to identify publicly-known vulnerabilities in software packages, network equipment, and operating systems. - Establish processes for tracking and documenting identified vulnerabilities, including their severity, potential impact, and available patches or mitigations. - Allocate resources for regular vulnerability assessments and risk analyses to maintain a current understanding of exposure to known vulnerabilities. - Train relevant personnel on vulnerability management practices and ensure they have the necessary skills to assess and mitigate vulnerabilities effectively. - Implement a patch management process to promptly apply security patches and updates to mitigate externally-exposed vulnerabilities. - Conduct periodic reviews and audits of the vulnerability management program to ensure effectiveness and compliance with industry standards and best practices.",Policy is not availble,487
You do not understand the exposure of your essential service to publicly-known vulnerabilities?,no,No risk,Protect,Not Achieved,Limited understanding of exposure to publicly-known vulnerabilities,"- Implement a vulnerability management program to continuously monitor, assess, and prioritize vulnerabilities affecting the essential service. - Utilize vulnerability scanning tools and services to identify publicly-known vulnerabilities in software packages, network equipment, and operating systems. - Establish processes for tracking and documenting identified vulnerabilities, including their severity, potential impact, and available patches or mitigations. - Allocate resources for regular vulnerability assessments and risk analyses to maintain a current understanding of exposure to known vulnerabilities. - Train relevant personnel on vulnerability management practices and ensure they have the necessary skills to assess and mitigate vulnerabilities effectively. - Implement a patch management process to promptly apply security patches and updates to mitigate externally-exposed vulnerabilities. - Conduct periodic reviews and audits of the vulnerability management program to ensure effectiveness and compliance with industry standards and best practices.",Policy is not availble,488
You do not mitigate externally-exposed vulnerabilities promptly?,yes,High,Protect,Not Achieved,Inadequate mitigation of externally-exposed vulnerabilities,"- Develop and implement a vulnerability remediation process to prioritize and address externally-exposed vulnerabilities promptly. - Establish criteria for prioritizing vulnerabilities based on severity, potential impact, and exploitability. - Allocate resources for remediation activities, including patching, configuration changes, or compensating controls to mitigate identified vulnerabilities. - Implement automated patch management solutions to streamline the deployment of security updates and patches for software packages, network equipment, and operating systems. - Conduct regular vulnerability scans and assessments to identify new vulnerabilities and ensure timely remediation. - Monitor industry sources and threat intelligence feeds for information on emerging vulnerabilities and exploit techniques to proactively address potential threats. - Conduct post-remediation reviews to evaluate the effectiveness of mitigation measures and identify areas for improvement in vulnerability management processes.",Policy is not availble,489
You do not mitigate externally-exposed vulnerabilities promptly?,no,No risk,Protect,Not Achieved,Inadequate mitigation of externally-exposed vulnerabilities,"- Develop and implement a vulnerability remediation process to prioritize and address externally-exposed vulnerabilities promptly. - Establish criteria for prioritizing vulnerabilities based on severity, potential impact, and exploitability. - Allocate resources for remediation activities, including patching, configuration changes, or compensating controls to mitigate identified vulnerabilities. - Implement automated patch management solutions to streamline the deployment of security updates and patches for software packages, network equipment, and operating systems. - Conduct regular vulnerability scans and assessments to identify new vulnerabilities and ensure timely remediation. - Monitor industry sources and threat intelligence feeds for information on emerging vulnerabilities and exploit techniques to proactively address potential threats. - Conduct post-remediation reviews to evaluate the effectiveness of mitigation measures and identify areas for improvement in vulnerability management processes.",Policy is not availble,490
There are no means to check data or software imports for malware?,yes,High,Protect,Not Achieved,Lack of means to check data or software imports for malware,"- Implement malware detection and prevention solutions to scan data and software imports for malicious content and potential malware infections. - Utilize antivirus software, intrusion detection systems (IDS), and endpoint protection platforms (EPP) to detect and block malware at various entry points, including email attachments, file downloads, and removable media. - Establish policies and procedures for screening data and software imports for malware, including manual verification and validation processes where automated solutions are not feasible. - Provide training and awareness programs for personnel involved in data and software imports to recognize and report signs of malware activity and adhere to security protocols for handling suspicious files or attachments. - Regularly update and maintain malware detection tools and signature databases to ensure effectiveness against evolving malware threats and attack techniques. - Conduct periodic audits and assessments of malware detection capabilities and import screening processes to identify gaps and opportunities for improvement.",Policy is not availble,491
There are no means to check data or software imports for malware?,no,No risk,Protect,Not Achieved,Lack of means to check data or software imports for malware,"- Implement malware detection and prevention solutions to scan data and software imports for malicious content and potential malware infections. - Utilize antivirus software, intrusion detection systems (IDS), and endpoint protection platforms (EPP) to detect and block malware at various entry points, including email attachments, file downloads, and removable media. - Establish policies and procedures for screening data and software imports for malware, including manual verification and validation processes where automated solutions are not feasible. - Provide training and awareness programs for personnel involved in data and software imports to recognize and report signs of malware activity and adhere to security protocols for handling suspicious files or attachments. - Regularly update and maintain malware detection tools and signature databases to ensure effectiveness against evolving malware threats and attack techniques. - Conduct periodic audits and assessments of malware detection capabilities and import screening processes to identify gaps and opportunities for improvement.",Policy is not availble,492
You have not recently tested to verify your understanding of the vulnerabilities of the networks and information systems that support your essential service?,yes,High,Protect,Not Achieved,Lack of recent testing to verify understanding of vulnerabilities in supporting networks and systems,"- Schedule regular vulnerability assessments and penetration tests to verify the understanding of vulnerabilities in the networks and information systems supporting the essential service. - Engage qualified third-party security firms or consultants to conduct independent assessments and testing of the infrastructure and systems. - Define testing objectives and scope based on known vulnerabilities, potential attack vectors, and critical assets and functionalities. - Document and prioritize identified vulnerabilities and weaknesses, including recommendations for remediation and risk mitigation. - Implement a remediation plan to address identified vulnerabilities promptly and track progress towards resolution. - Conduct post-testing reviews to evaluate the effectiveness of remediation efforts and identify areas for further improvement. - Integrate vulnerability testing and assessment activities into the Organisation's change management and risk management processes to ensure ongoing security and resilience of the essential service.",Policy is not availble,493
You have not recently tested to verify your understanding of the vulnerabilities of the networks and information systems that support your essential service?,no,No risk,Protect,Not Achieved,Lack of recent testing to verify understanding of vulnerabilities in supporting networks and systems,"- Schedule regular vulnerability assessments and penetration tests to verify the understanding of vulnerabilities in the networks and information systems supporting the essential service. - Engage qualified third-party security firms or consultants to conduct independent assessments and testing of the infrastructure and systems. - Define testing objectives and scope based on known vulnerabilities, potential attack vectors, and critical assets and functionalities. - Document and prioritize identified vulnerabilities and weaknesses, including recommendations for remediation and risk mitigation. - Implement a remediation plan to address identified vulnerabilities promptly and track progress towards resolution. - Conduct post-testing reviews to evaluate the effectiveness of remediation efforts and identify areas for further improvement. - Integrate vulnerability testing and assessment activities into the Organisation's change management and risk management processes to ensure ongoing security and resilience of the essential service.",Policy is not availble,494
You have not suitably mitigated systems or software that is no longer supported?,yes,High,Protect,Not Achieved,Inadequate mitigation of unsupported systems or software,"- Identify all unsupported systems and software components used to support the essential service. - Develop a migration plan to replace unsupported systems or software with supported alternatives or upgraded versions. - Prioritize migration efforts based on the criticality of systems, potential security risks, and business impact. - Implement compensating controls or security measures to mitigate risks associated with unsupported systems or software until migration is completed. - Allocate resources and budget for migration activities, including system upgrades, software updates, and migration testing. - Establish timelines and milestones for completing migration activities and monitor progress towards achieving objectives. - Communicate migration plans and timelines to stakeholders and end-users to ensure awareness and cooperation throughout the process. - Conduct regular reviews and assessments of migration progress and adjust plans as needed to address challenges or emerging issues.",Policy is not availble,495
You have not suitably mitigated systems or software that is no longer supported?,no,No risk,Protect,Not Achieved,Inadequate mitigation of unsupported systems or software,"- Identify all unsupported systems and software components used to support the essential service. - Develop a migration plan to replace unsupported systems or software with supported alternatives or upgraded versions. - Prioritize migration efforts based on the criticality of systems, potential security risks, and business impact. - Implement compensating controls or security measures to mitigate risks associated with unsupported systems or software until migration is completed. - Allocate resources and budget for migration activities, including system upgrades, software updates, and migration testing. - Establish timelines and milestones for completing migration activities and monitor progress towards achieving objectives. - Communicate migration plans and timelines to stakeholders and end-users to ensure awareness and cooperation throughout the process. - Conduct regular reviews and assessments of migration progress and adjust plans as needed to address challenges or emerging issues.",Policy is not availble,496
You are not pursuing replacement for unsupported systems or software?,yes,Medium,Protect,Not Achieved,Temporarily mitigated vulnerabilities for an extended period,- Review and prioritize temporary mitigations for vulnerabilities that are not externally exposed. - Evaluate the effectiveness and feasibility of permanent remediation measures to address vulnerabilities with temporary mitigations. - Allocate resources and prioritize remediation efforts based on risk assessments and potential impact on the essential service. - Implement automated monitoring and alerting mechanisms to detect changes in the status of temporarily mitigated vulnerabilities and trigger timely remediation actions. - Conduct regular reviews and assessments of temporary mitigations to ensure they remain effective and appropriate. - Communicate with relevant stakeholders and decision-makers regarding the status of vulnerabilities and progress towards permanent remediation efforts. - Document lessons learned and best practices for managing vulnerabilities with temporary mitigations and incorporate them into vulnerability management processes and procedures.,Policy is not availble,497
You are not pursuing replacement for unsupported systems or software?,no,No risk,Protect,Not Achieved,Temporarily mitigated vulnerabilities for an extended period,- Review and prioritize temporary mitigations for vulnerabilities that are not externally exposed. - Evaluate the effectiveness and feasibility of permanent remediation measures to address vulnerabilities with temporary mitigations. - Allocate resources and prioritize remediation efforts based on risk assessments and potential impact on the essential service. - Implement automated monitoring and alerting mechanisms to detect changes in the status of temporarily mitigated vulnerabilities and trigger timely remediation actions. - Conduct regular reviews and assessments of temporary mitigations to ensure they remain effective and appropriate. - Communicate with relevant stakeholders and decision-makers regarding the status of vulnerabilities and progress towards permanent remediation efforts. - Document lessons learned and best practices for managing vulnerabilities with temporary mitigations and incorporate them into vulnerability management processes and procedures.,Policy is not availble,498
Some vulnerabilities that are not externally exposed have temporary mitigations for an extended period?,yes,Medium,Protect,Partially Achieved,Temporary mitigations for unsupported systems and software,"- Identify and prioritize unsupported systems and software components requiring temporary mitigations. - Implement temporary security controls or measures to reduce the risk associated with unsupported systems or software until migration to supported technology is completed. - Monitor the effectiveness of temporary mitigations and adjust controls as needed to address emerging threats or vulnerabilities. - Establish timelines and milestones for migrating unsupported systems or software to supported alternatives. - Allocate resources and budget for migration activities, including system upgrades, software updates, and migration testing. - Communicate migration plans and progress to stakeholders and end-users to ensure awareness and cooperation throughout the process. - Conduct regular reviews and assessments of temporary mitigations to evaluate their effectiveness and feasibility. - Document lessons learned and best practices for managing unsupported systems or software and incorporate them into vulnerability management processes and procedures.",Policy is not availble,499
Some vulnerabilities that are not externally exposed have temporary mitigations for an extended period?,no,No risk,Protect,Partially Achieved,Temporary mitigations for unsupported systems and software,"- Identify and prioritize unsupported systems and software components requiring temporary mitigations. - Implement temporary security controls or measures to reduce the risk associated with unsupported systems or software until migration to supported technology is completed. - Monitor the effectiveness of temporary mitigations and adjust controls as needed to address emerging threats or vulnerabilities. - Establish timelines and milestones for migrating unsupported systems or software to supported alternatives. - Allocate resources and budget for migration activities, including system upgrades, software updates, and migration testing. - Communicate migration plans and progress to stakeholders and end-users to ensure awareness and cooperation throughout the process. - Conduct regular reviews and assessments of temporary mitigations to evaluate their effectiveness and feasibility. - Document lessons learned and best practices for managing unsupported systems or software and incorporate them into vulnerability management processes and procedures.",Policy is not availble,500
You have temporary mitigations for unsupported systems and software while pursuing migration to supported technology?,yes,Low,Protect,Partially Achieved,"Maximizing the use of supported software, firmware, and hardware","- Implement a comprehensive asset management program to inventory and track software, firmware, and hardware used to support the essential service. - Establish policies and procedures for identifying and evaluating supported technology options for network infrastructure, systems, and software applications. - Prioritize the adoption of supported technology based on compatibility, security, reliability, and vendor support considerations. - Develop migration plans and timelines for transitioning from unsupported to supported technology solutions. - Allocate resources and budget for technology upgrades, software updates, and hardware replacements as part of the migration process. - Monitor industry trends and advancements in technology to identify opportunities for maximizing the use of supported software, firmware, and hardware. - Conduct regular reviews and assessments of technology adoption efforts and adjust plans as needed to align with business objectives and technological advancements. - Document lessons learned and best practices for maximizing the use of supported technology and incorporate them into asset management and procurement processes.",Policy is not availble,501
You have temporary mitigations for unsupported systems and software while pursuing migration to supported technology?,no,No risk,Protect,Partially Achieved,"Maximizing the use of supported software, firmware, and hardware","- Implement a comprehensive asset management program to inventory and track software, firmware, and hardware used to support the essential service. - Establish policies and procedures for identifying and evaluating supported technology options for network infrastructure, systems, and software applications. - Prioritize the adoption of supported technology based on compatibility, security, reliability, and vendor support considerations. - Develop migration plans and timelines for transitioning from unsupported to supported technology solutions. - Allocate resources and budget for technology upgrades, software updates, and hardware replacements as part of the migration process. - Monitor industry trends and advancements in technology to identify opportunities for maximizing the use of supported software, firmware, and hardware. - Conduct regular reviews and assessments of technology adoption efforts and adjust plans as needed to align with business objectives and technological advancements. - Document lessons learned and best practices for maximizing the use of supported technology and incorporate them into asset management and procurement processes.",Policy is not availble,502
You maintain a current understanding of the exposure of your essential service to publicly-known vulnerabilities?,no,Low,Protect,Achieved,Maintenance of current understanding of exposure to publicly-known vulnerabilities,- Establish regular processes for monitoring and staying updated on publicly-known vulnerabilities relevant to essential service systems.<br>- Subscribe to security advisories and alerts from reputable sources.<br>- Implement vulnerability scanning tools to identify and assess vulnerabilities.,Policy is not availble,503
You maintain a current understanding of the exposure of your essential service to publicly-known vulnerabilities?,yes,No risk,Protect,Achieved,Maintenance of current understanding of exposure to publicly-known vulnerabilities,- Establish regular processes for monitoring and staying updated on publicly-known vulnerabilities relevant to essential service systems.<br>- Subscribe to security advisories and alerts from reputable sources.<br>- Implement vulnerability scanning tools to identify and assess vulnerabilities.,Policy is not availble,504
"Announced vulnerabilities for all software packages, network equipment, and operating systems used to support your essential service are tracked, prioritized, and externally-exposed vulnerabilities are mitigated (e.g., by patching) promptly?",no,Medium,Protect,Achieved,"Tracking, prioritizing, and mitigating announced vulnerabilities promptly","- Implement a vulnerability management program to track and prioritize announced vulnerabilities.<br>- Develop a patch management process to promptly mitigate externally-exposed vulnerabilities, prioritizing critical patches.<br>- Conduct regular vulnerability scans and assessments.",Policy is not availble,505
"Announced vulnerabilities for all software packages, network equipment, and operating systems used to support your essential service are tracked, prioritized, and externally-exposed vulnerabilities are mitigated (e.g., by patching) promptly?",yes,No risk,Protect,Achieved,"Tracking, prioritizing, and mitigating announced vulnerabilities promptly","- Implement a vulnerability management program to track and prioritize announced vulnerabilities.<br>- Develop a patch management process to promptly mitigate externally-exposed vulnerabilities, prioritizing critical patches.<br>- Conduct regular vulnerability scans and assessments.",Policy is not availble,506
You regularly test to fully understand the vulnerabilities of the networks and information systems that support your essential service?,no,Medium,Protect,Achieved,Regular testing to understand vulnerabilities of supporting networks and information systems,- Schedule regular vulnerability assessments and penetration tests to understand and identify vulnerabilities in networks and information systems supporting the essential service.<br>- Use automated tools and third-party testing services for comprehensive assessments.,Policy is not availble,507
You regularly test to fully understand the vulnerabilities of the networks and information systems that support your essential service?,yes,No risk,Protect,Achieved,Regular testing to understand vulnerabilities of supporting networks and information systems,- Schedule regular vulnerability assessments and penetration tests to understand and identify vulnerabilities in networks and information systems supporting the essential service.<br>- Use automated tools and third-party testing services for comprehensive assessments.,Policy is not availble,508
You maintain a current understanding of the exposure of your essential service to publicly-known vulnerabilities?,no,Low,Protect,Achieved,Maintenance of current understanding of exposure to publicly-known vulnerabilities,- Establish regular processes for monitoring and staying updated on publicly-known vulnerabilities relevant to essential service systems.<br>- Subscribe to security advisories and alerts from reputable sources.,Policy is not availble,509
You maintain a current understanding of the exposure of your essential service to publicly-known vulnerabilities?,yes,No risk,Protect,Achieved,Maintenance of current understanding of exposure to publicly-known vulnerabilities,- Establish regular processes for monitoring and staying updated on publicly-known vulnerabilities relevant to essential service systems.<br>- Subscribe to security advisories and alerts from reputable sources.,Policy is not availble,510
"Announced vulnerabilities for all software packages, network equipment, and operating systems used to support your essential service are tracked, prioritized, and mitigated (e.g., by patching) promptly?",no,Medium,Protect,Achieved,"Tracking, prioritizing, and mitigating announced vulnerabilities promptly","- Implement a vulnerability management program to track and prioritize announced vulnerabilities.<br>- Develop a patch management process to promptly mitigate externally-exposed vulnerabilities, prioritizing critical patches.",Policy is not availble,511
"Announced vulnerabilities for all software packages, network equipment, and operating systems used to support your essential service are tracked, prioritized, and mitigated (e.g., by patching) promptly?",yes,No risk,Protect,Achieved,"Tracking, prioritizing, and mitigating announced vulnerabilities promptly","- Implement a vulnerability management program to track and prioritize announced vulnerabilities.<br>- Develop a patch management process to promptly mitigate externally-exposed vulnerabilities, prioritizing critical patches.",Policy is not availble,512
You regularly test to fully understand the vulnerabilities of the networks and information systems that support your essential service and verify this understanding with third-party testing?,no,Medium,Protect,Achieved,Regular testing to understand vulnerabilities of supporting networks and information systems,- Schedule regular vulnerability assessments and penetration tests to understand and identify vulnerabilities in networks and information systems supporting the essential service.<br>- Use automated tools and third-party testing services for comprehensive assessments.,Policy is not availble,513
